intent,query,answer
일반상식,다테 기미코가 최초로 은퇴 선언을 한게 언제지,1996년 9월 24일
일반상식,ave;new 본거지 어디야,도쿄 치요다구
일반상식,사카이 다다요시의 아버지가 누구지,사카이 나오타카(酒井直隆)
일반상식,일반성면의 면적이 얼마야,19.41 km²
일반상식,금나라를 세운 사람이 누구야,태조 아구다
일반상식,스냅이 뭐야,오펜스 라인의 가운데 있는 센터가 스크리미지 라인 위에 놓여있는 공을 뒤에 있는 쿼터백에게 전달하는 것
일반상식,포클랜드제도에 대한 UN의 입장은 뭐야,중립적 관점에 의거하여 영국과 아르헨티나 양측이 이 문제에 대해 협상을 시작할 것을 요구
일반상식,2014년 지금 북한이 잠수함을 몇개 가졌다고 알려져 있어,78척
일반상식,김병지가 언제 데뷔했어,1992년
일반상식,케이티 페리의 직업은 뭐야,미국의 싱어송라이터
일반상식,성정아의 1989년 소속팀이 어디야,동방생명
일반상식,의열단 단장은 누구야,김원봉
일반상식,쾰른 대성당이 유네스코 문화유산에 등록된 해는,1996년
일반상식,푸들 털이 무슨 색깔이야,"흰색 또는 검은색, 회색, 갈색, 살구색"
일반상식,아르니 마그누손 연구소는 어디에 위치해 있지,레이캬비크
일반상식,세르베트 FC의 소속국가는,스위스
일반상식,알렉산드리아의 등대는 뭐라고도 불려,파로스의 등대
일반상식,나가사와 마사미는 어느 지역 출신이야,시즈오카 현 이와타 시
일반상식,시민운동의 뜻이 뭐야,"기존의 사회 구조와 제도를 변화·개선시키기 위하여 대중과 시민이 자발적으로 참여하는, 조직적이고 집합적이며 연속적인 다양한 행동"
일반상식,에이벡스 그룹의 본사는 어디에 있어,도쿄 미나토
일반상식,중화민국에서 대통령의 명칭은 뭐야,총통
일반상식,영국 연방에는 몇 개의 나라가 있어,53개
일반상식,북한 군 총정치국장 최룡해 아버지 이름이 뭐야,최현
일반상식,벅스 버니의 털은 무슨 색이야,회색
일반상식,파장이 짧은 빛은 어떤 색이야,"보라, 파랑, 초록"
일반상식,머라이언에서 인어가 의미하는 것이 뭔지 알아,항구 도시
일반상식,태화관광이 대통령 표창장을 받은 해는 언제야,2001년
일반상식,축구에서 어떤 경우를 핸들링 반칙이라고 해,손 또는 팔을 공에 대는 경우
일반상식,모잠비크가 소련의 경제체제를 포기한 이유는,"아프리카의 상황을 파악하지 않고 시작된 계획경제의 부작용, 자국의 기술부족과 외화 부족, 소련 붕괴"
일반상식,중종반정 공신이고 중종의 후궁 희빈홍씨의 아버지의 이름이 뭐야,홍경주
일반상식,해리포터에서 해리는 누구랑 결혼해,지니 위즐리
일반상식,마이클 에시엔은 어느 나라 사람이야,가나
일반상식,액션 롤플레잉 게임 시스템 쇼크의 개발사가 어디야,루킹 글래스 스튜디오
일반상식,ESPN을 몇 개국에서 볼 수 있어,150개국
일반상식,수림서원은 무엇을 하는 곳이지,추모하기 위해 위패를 모신 서원
일반상식,백조자리61번별의 연주시차는,0.62초각
일반상식,Remapping The Human Soul은 언제 발매됐어,2007년 1월 23일
일반상식,체조가 널리 알려진 시기가 언제지,근대 올림픽 부활 이후부터
일반상식,사코와 반제티의 판결에 대한 항소를 모두 기각한 판사는,웹스터 세이어
일반상식,이병헌이 지 아이 조 2 에서 맡은 역할을 알려줘,스톰 쉐도우 역
일반상식,비자카드 소속의 직불카드망은,비자 일렉트론 및 인터링크
일반상식,모가디슈의 아랍어 뜻은,샤의 소재지
일반상식,브라질에서 인구가 많은 지역은,옛 수도인 리우데자네이루와 브라질 최대의 도시인 상파울루 등의 대도시가 존재하는 대서양 연안
일반상식,오로라 공주가 꾸러기 수비대에 맡긴 임무가 뭐야,시공간 이동머신 키린다(알바트로스)를 타고 노벨월드를 지키게
일반상식,장위동 김진흥 가옥이 불교재단에 기증된게 언제야,1998년 12월
일반상식,에콜 폴리테크니크는 어느 나라에 있는 학교야,프랑스
일반상식,투르크메니스탄이 독립한 게 언제야,1991년
일반상식,쌍계사 대웅전의 삼존불상은 어떤 재료를 사용해서 만들었지,나무
일반상식,대한민국 사법 역사상 최초로 대법관이된 여자가 누구야,김영란
일반상식,유우성과 가족은 언제 남한에 왔어,2004년 탈북자 자격으로 남한에 들어왔다
일반상식,모던 패밀리의 첫 방송은 언제였지,2009년 9월 23일 수요일 오후 9시(미국 동부기준)
일반상식,에이브릴 라빈의 정규 앨범 The Best Damn Thing의 전세계 판매량은 얼마나 돼,700만 장
일반상식,지동설 주장한 사람들이 누구야,"튀코 브라헤, 갈릴레오 갈릴레이, 케플러와 아이작 뉴턴"
일반상식,공군통역장교가 통역을 맡는 사람엔 누가 있어,"청와대 국가안보실장, 국방부장관, 국방부차관, 합참의장, 합참차장, 한미연합사 부사령관, 공군참모총장, 국방정보본부장, 합참전략기획본부장, 기무사령관, 777사령관, 정보사령관 등"
일반상식,오일육 군사정변 언제 일어났어,1961년
일반상식,류큐 표류민 살해 사건을 대만에서는 뭐라고 하지,모란사 사건
일반상식,하워드 가드너는 지능에 대한 어떤 이론을 제시했어,8가지 능력인 다중지능
일반상식,가이에다 반리가 처음 당선된 선거는,1993년 제40회 일본 중의원 의원 총선거
일반상식,배우 테일러는 몇 살 때 죽었어,80세
일반상식,자수 초충도 병풍의 한폭의 크기 알려줘,"가로 40㎝, 세로 64㎝"
일반상식,류준열이 씨제스 엔터테인먼트에 들어간게 언제야,2015년 7월
일반상식,핑크 플로이드는 언제 결성됐어,1964년
일반상식,문재인 아버지 이름이 뭐야,문용형
일반상식,쉬페르리그에서 가장 치열한 더비 경기가 뭐야,페네르바흐체(페네르바흐체 SK (축구))와 갈라타사라이
일반상식,쥬얼리의 one more time의 가장 유명한 안무를 뭐라고해,ET 춤
일반상식,조선의 이산해는 어떤 시를 썼어,"당시의 시인, 문인, 기녀들이 주로 짓던 중국의 고전이나 무릉도원, 중국의 경치를 담은 시를 거의 짓지 않고, 현실의 삶을 직설적으로 묘사한 시를 주로 남겼다"
일반상식,미국 배우 줄리앤 무어가 2015년 9월까지 출연한 작품의 수는,"60편의 장편 영화, 4편의 텔레비전 영화와 4편의 텔레비전 시리즈에 출연"
일반상식,55년 체제는 어느 나라에서 형성되었어,일본
일반상식,서재필은 언제 죽었어,1951년 1월 5일
일반상식,김대중 정부를 왜 국민의 정부라고 했어,새 정부의 주권이 국민에게 있다는 뜻을 강조하는 의미
일반상식,판타스틱이 월간지에서 계간지로 언제 전환됐어,2009년
일반상식,스코틀랜드의 수호 성인은 누구야,사도 안드레아
일반상식,동진의 안제를 몰아내고 초나라를 건립한 사람은,환현(桓玄)
일반상식,매우 민감한 사람들은 많은 MSG를 먹을 경우 어떤 부작용이 있을 수 있지,"두통, 얼얼함, 따끔따끔함, 홍조, 근육 긴장, 일반적인 쇠약"
일반상식,185년경 이집트를 지배했던 국가는,로마
일반상식,계양 산성의 안쪽은 어떤 것으로 쌓았어,불규칙한 할석(割石)
일반상식,박찬호는 왜 애틀랜타 브레이브스에 못 간거야,병역 문제
일반상식,사쓰마 번은 지금으로 따지면 어디야,지금의 가고시마 현 전역과 미야자키 현의 남서부
일반상식,영친왕의 정혼했었던 인물이 누구지,민갑완
일반상식,카노가 전봉준에게 지원해 준 소총은 뭐야,메트포드 소총
일반상식,HSBC 은행의 설립자는,토마스 서덜랜드
일반상식,언어행위 이론은 어느 국가에서 창시된 이론이야,영국
일반상식,현대 양변기의 시초는 언제 만들어졌어,1596년
일반상식,노태우는 언제 사면됐어,1997년 12월
일반상식,퐁몽룡이 활동한 시대가 언제지,중국 명대 말기
일반상식,IAI 크피르의 최대이륙중량이 몇 톤인지 알아,16톤
일반상식,프랑스 혁명의 발생년도를 알려줘,1789년
일반상식,기성용은 어떤 경기에서 프로리그 첫 골을 넣었지,대구 FC
일반상식,미주리주 노예제도 찬성론자 무장투쟁 단체에 보더 러피안이라는 이름을 붙인 사람들은,캔자스에 사는 자유주 주민들과 북부에서 온 노예 제도 폐지론자들
일반상식,반흐루쇼프운동을 주도한 인물이 누구야,몰로토프
일반상식,윈도우 1.0 언제 나왔어,1985년 11월 20일
일반상식,조지 프랫 슐츠가 1974년에 무슨 직책을 맡았지,재무 장관 겸 경제 정책 위원회의 회장
일반상식,카탈로니아 찬가를 쓴 저자가 누구야,조지 오웰
일반상식,오일러의 다면체 정리를 간단하게 설명해줘,점의 개수에서 선의 개수를 뺀 값에 면의 개수를 더할 경우에 나오는 값이 일정하다
일반상식,스페인의 국토회복운동을 뭐라고 해,레콘키스타
일반상식,오토 아베츠는 무슨 대사였어,파리 주재 독일 대사
일반상식,클로우디오 몬테베르디가 마지막으로 작곡한 오페라는,포페아의 대관식
일반상식,피루브산이 비가역적으로 무엇으로 전환돼,acetyl-COA
일반상식,카보베르데는 누가 발견했어,포르투갈의 항해자들
일반상식,대한불교 진언종에 대해서 설명해줘,밀교계에 속한 한국불교의 한 종파
일반상식,청나라의 7대 황제가 누구야,건륭
일반상식,빌헬미가 G선상의 아리아를 편곡한 방향은,라 장조에서 다 장조로
일반상식,마라타 왕국의 초대 왕이 누구야,시바지
일반상식,hello 뮤직비디오는 무슨 카메라로 촬영됐어,IMAX 카메라
일반상식,에어프랑스 4590편 추락사고가 언제 일어난 사고야,2000년
일반상식,SK그룹 의사 결정 어디서 해,SUPEX 추구협의회
일반상식,내털리 베넷은 언제 태어났어,1966년 2월 10일
일반상식,판다 익스프레스가 언제 처음 영업을 시작했지,2004년
일반상식,뤼시앙 레비브륄의 명성을 높인 연구가 뭐지,미개사회의 사유구조에 대한 일련의 연구
일반상식,효공왕 이전 왕은,진성여왕
일반상식,1990년 조규선에게 한국 기자상을 안긴 보도는,정부의 안면도 핵폐기물 사태 밀실행정의 부당성을 고발
일반상식,재능교육이 하고 있는 사업분야는,"교육서비스업을 비롯하여 출판, 방송, IT, 연수, 학원, 문화, 예술, 인쇄, 유통 등"
일반상식,미에 현은 어디에 위치해 있어,기이 반도 동안
일반상식,게임 거상의 장르가 뭐야,MMORPG
일반상식,센트럴리그는 어느 나라 리그야,일본
일반상식,최남선과 현상윤이 친일파임을 알려준 민족문화연구소 책은,친일인명사전
일반상식,에드워드 반필드가 부에노스아이레스 그레이트 서던 레일웨이를 경영했던 시기는,1865년부터 1872년
